"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","10","blue","frc604","frc5419","frc2489","94","9","12","None","Level","32","62","Docked","Level","1"
"2","21","red","frc2638","frc5419","frc2240","141","17","26","None","NotLevel","50","80","Docked","Level","4"
"3","30","blue","frc2399","frc5419","frc3604","193","20","41","None","Level","64","86","Docked","Level","4"
"4","44","blue","frc135","frc4175","frc5419","113","15","24","None","Level","50","64","Docked","NotLevel","3"
"5","53","red","frc3937","frc5419","frc9244","107","22","40","Docked","Level","32","52","Docked","Level","1"
"6","74","red","frc5419","frc4693","frc3374","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","87","blue","frc5419","frc6352","frc316","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","103","red","frc5419","frc694","frc1983","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"9","112","blue","frc5618","frc469","frc5419","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"10","120","blue","frc3655","frc1414","frc5419","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
