"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","red","frc1940","frc4216","frc2767","124","15","36","None","Level","36","58","Park","Level","4"
"2","10","blue","frc1940","frc5263","frc6078","73","7","25","None","Level","31","43","Docked","Level","2"
"3","15","red","frc1940","frc7814","frc503","97","10","31","None","Level","29","51","Docked","Level","3"
"4","22","blue","frc8832","frc7713","frc1940","58","10","16","None","Level","16","22","Docked","NotLevel","0"
"5","28","red","frc7855","frc1940","frc5843","68","10","24","None","NotLevel","17","39","Park","Level","3"
"6","40","red","frc5535","frc1940","frc5182","100","14","35","None","Level","28","50","Docked","Level","3"
"7","45","blue","frc4381","frc8522","frc1940","103","13","16","None","Level","35","57","Docked","Level","3"
"8","50","red","frc1940","frc6057","frc9177","41","6","9","None","Level","10","32","Docked","Level","0"
"9","60","blue","frc5256","frc4956","frc1940","91","7","25","None","Level","29","51","Park","Level","3"
"10","65","red","frc4327","frc3452","frc1940","100","14","32","None","Level","26","48","Docked","Level","3"
"11","70","blue","frc9183","frc1940","frc7813","41","7","13","None","Level","6","28","Docked","Level","0"
"12","76","blue","frc9278","frc1940","frc4422","115","10","31","None","Level","42","64","Docked","Level","4"
