"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc7226","frc5152","frc5501","101","6","21","Docked","Level","35","65","Docked","Level","1"
"2","8","red","frc9215","frc3658","frc5152","105","14","29","Docked","Level","39","61","Docked","Level","3"
"3","20","red","frc5152","frc216","frc7256","112","13","34","Docked","Level","36","58","Docked","Level","4"
"4","25","blue","frc5675","frc244","frc5152","126","15","33","Docked","Level","46","68","Docked","Level","4"
"5","31","blue","frc5152","frc8608","frc6588","79","13","34","Docked","Level","20","30","Docked","Level","2"
"6","38","red","frc5152","frc7197","frc1504","116","9","27","Docked","Level","44","74","Docked","Level","3"
"7","42","blue","frc5152","frc288","frc4998","92","18","36","Docked","Level","29","41","Docked","NotLevel","0"
"8","48","blue","frc4327","frc5152","frc5067","65","16","22","None","Level","26","38","Docked","Level","0"
"9","53","red","frc2611","frc4453","frc5152","136","18","39","Docked","Level","50","72","Docked","Level","4"
"10","65","red","frc9227","frc5676","frc5152","121","15","36","Docked","Level","40","70","Docked","Level","3"
"11","69","red","frc5256","frc5152","frc7203","104","6","24","Docked","Level","35","65","Docked","Level","3"
"12","78","red","frc7811","frc5152","frc5235","86","6","9","None","Level","37","67","Docked","Level","3"
