"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc9203","frc862","frc5702","56","6","17","None","NotLevel","25","29","Park","NotLevel","0"
"2","9","red","frc7195","frc9203","frc7056","79","3","21","None","Level","26","48","Park","Level","1"
"3","13","blue","frc9203","frc8424","frc5697","49","3","6","None","NotLevel","11","33","Docked","Level","0"
"4","23","blue","frc5282","frc9203","frc5907","102","6","18","None","Level","37","59","Docked","Level","3"
"5","29","blue","frc4983","frc7289","frc9203","71","3","9","None","Level","17","47","Park","Level","3"
"6","33","red","frc51","frc5234","frc9203","77","6","21","None","Level","26","46","Park","Level","1"
"7","39","red","frc6150","frc9203","frc2246","61","6","9","None","Level","20","42","Park","Level","0"
"8","45","blue","frc9203","frc5567","frc6548","54","9","15","None","Level","10","12","Docked","NotLevel","2"
"9","49","red","frc9203","frc3618","frc8873","42","6","6","None","Level","14","36","Park","Level","0"
"10","55","red","frc5704","frc9203","frc3773","15","0","3","None","Level","8","12","Park","Level","0"
"11","63","blue","frc7254","frc5530","frc9203","39","6","12","None","NotLevel","15","27","Docked","Level","0"
"12","68","blue","frc9241","frc6610","frc9203","50","0","6","None","Level","14","34","Docked","Level","0"
