"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc8179","frc8300","frc5197","81","6","24","None","Level","25","47","Park","Level","2"
"2","11","blue","frc5619","frc5532","frc5197","29","0","3","None","NotLevel","6","26","None","Level","0"
"3","18","blue","frc7716","frc2832","frc5197","105","12","27","None","Level","24","46","Docked","Level","3"
"4","27","red","frc5907","frc5197","frc4854","102","6","27","None","Level","33","55","Docked","Level","1"
"5","33","blue","frc5197","frc9205","frc6861","66","0","15","None","Level","16","36","Park","Level","3"
"6","38","blue","frc5197","frc5478","frc9148","41","3","9","None","Level","10","32","Docked","Level","0"
"7","44","blue","frc5197","frc6057","frc3632","64","3","18","None","Level","14","36","Docked","Level","3"
"8","49","red","frc6914","frc8362","frc5197","65","6","12","None","Level","16","38","Docked","Level","2"
"9","55","blue","frc6532","frc5197","frc5695","61","3","9","None","Level","12","42","Park","Level","3"
"10","67","red","frc4758","frc5197","frc7692","74","6","21","None","Level","23","43","None","Level","3"
"11","71","red","frc5197","frc7220","frc313","103","9","30","None","Level","31","53","Docked","Level","3"
"12","77","red","frc2620","frc5197","frc6190","69","9","23","None","NotLevel","14","36","Docked","Level","3"
