"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc6345","frc5878","frc4392","91","15","30","None","Level","24","46","Docked","Level","1"
"2","7","red","frc6112","frc9176","frc4392","110","12","15","None","Level","45","75","Docked","Level","3"
"3","15","red","frc4827","frc904","frc4392","108","15","33","None","Level","33","55","Park","Level","1"
"4","22","blue","frc4392","frc7768","frc5314","102","22","43","None","Level","34","44","Park","NotLevel","2"
"5","28","blue","frc5547","frc4392","frc7782","127","22","37","None","Level","48","70","Docked","Level","4"
"6","36","red","frc4392","frc4988","frc2586","92","13","28","None","Level","37","59","Docked","Level","3"
"7","43","red","frc857","frc6113","frc4392","145","22","43","None","Level","55","77","Park","Level","4"
"8","48","blue","frc4835","frc4392","frc7826","100","10","10","None","Level","40","60","Park","Level","2"
"9","55","blue","frc7250","frc4392","frc9249","120","16","34","None","Level","39","61","Docked","Level","4"
"10","62","red","frc4392","frc3655","frc1596","91","16","22","None","Level","25","47","Docked","Level","2"
"11","68","blue","frc4375","frc4392","frc5084","122","18","36","None","Level","44","66","Park","Level","3"
"12","78","red","frc4392","frc6569","frc3602","109","16","33","None","NotLevel","39","61","Park","Level","3"
