"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","blue","frc8115","frc1701","frc4810","109","10","25","Docked","Level","47","69","Park","Level","3"
"2","14","blue","frc1701","frc4130","frc6085","118","18","36","None","Level","40","62","Docked","Level","3"
"3","20","blue","frc3619","frc2137","frc1701","127","12","30","None","Level","52","72","Docked","Level","4"
"4","24","red","frc3539","frc8364","frc1701","113","12","18","None","NotLevel","53","75","Docked","Level","3"
"5","31","blue","frc4961","frc1701","frc9245","91","12","21","None","NotLevel","47","55","Docked","NotLevel","2"
"6","38","red","frc6077","frc1701","frc3302","72","0","18","Docked","Level","39","49","Docked","NotLevel","0"
"7","42","blue","frc1701","frc9212","frc5460","109","6","12","None","NotLevel","57","67","Park","NotLevel","1"
"8","49","red","frc1701","frc9255","frc7762","124","15","33","Docked","Level","44","66","Park","Level","4"
"9","54","red","frc9252","frc818","frc1701","133","12","33","Docked","Level","58","80","Park","Level","4"
"10","67","red","frc6120","frc1701","frc7224","118","21","39","None","Level","42","64","Docked","Level","3"
"11","73","blue","frc5860","frc5555","frc1701","125","14","35","Docked","Level","51","65","Docked","Level","3"
"12","79","red","frc1701","frc4779","frc5046","121","21","35","None","NotLevel","39","61","Docked","Level","2"
