"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc8517","frc6102","frc6963","50","4","15","Docked","NotLevel","16","30","Park","Level","0"
"2","10","blue","frc6963","frc6087","frc5216","89","12","20","None","NotLevel","37","59","Park","Level","3"
"3","16","red","frc6963","frc8314","frc5193","92","9","27","None","Level","15","35","Docked","Level","3"
"4","23","blue","frc6753","frc3770","frc6963","107","9","24","None","Level","46","68","Docked","Level","3"
"5","31","red","frc5982","frc5166","frc6963","127","19","37","None","Level","43","65","Docked","Level","4"
"6","36","blue","frc6963","frc9225","frc6020","50","0","14","Docked","NotLevel","14","36","Docked","Level","1"
"7","40","blue","frc5509","frc8286","frc6963","53","6","20","Docked","NotLevel","23","33","Park","NotLevel","0"
"8","46","red","frc7109","frc6963","frc6642","56","3","6","None","NotLevel","20","40","Park","Level","0"
"9","57","blue","frc5424","frc6963","frc5603","100","6","23","None","NotLevel","42","62","Park","Level","3"
"10","63","red","frc6963","frc6033","frc2619","93","9","30","None","Level","23","53","Park","Level","3"
"11","71","red","frc8873","frc6963","frc5229","84","6","27","None","Level","25","47","Docked","Level","3"
"12","76","red","frc5712","frc6963","frc9246","114","13","34","None","Level","43","65","Docked","Level","3"
