"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc9239","frc3707","frc7225","41","6","12","None","Level","20","24","None","NotLevel","0"
"2","10","blue","frc3707","frc7553","frc8899","51","0","21","Docked","Level","10","30","Docked","Level","3"
"3","15","blue","frc308","frc3707","frc5695","45","0","6","None","Level","19","39","Docked","Level","0"
"4","20","red","frc3707","frc7224","frc6618","50","6","12","None","NotLevel","19","33","Park","NotLevel","0"
"5","29","red","frc5531","frc9204","frc3707","43","0","6","None","NotLevel","12","32","Park","Level","0"
"6","36","red","frc6538","frc3707","frc7178","73","6","24","Docked","Level","30","34","Docked","Level","2"
"7","43","blue","frc8519","frc3707","frc5053","78","6","12","None","Level","24","46","Docked","Level","0"
"8","48","red","frc3707","frc4680","frc2224","53","0","6","None","Level","15","37","Park","Level","0"
"9","55","blue","frc3707","frc6344","frc27","65","6","12","None","Level","28","48","None","Level","2"
"10","60","red","frc6591","frc6029","frc3707","57","0","18","Docked","Level","12","34","Docked","Level","1"
"11","67","red","frc3414","frc5065","frc3707","71","0","18","None","Level","21","43","Docked","Level","1"
"12","72","red","frc4737","frc67","frc3707","85","12","27","Docked","Level","39","43","Park","NotLevel","2"
