"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc3546","frc4956","frc5167","112","15","33","Docked","Level","42","64","Park","Level","3"
"2","11","blue","frc5167","frc4855","frc3357","87","15","30","Docked","Level","13","35","Docked","Level","3"
"3","15","blue","frc6094","frc5167","frc6128","51","6","18","Docked","Level","16","28","Docked","Level","0"
"4","25","red","frc7501","frc5167","frc5162","88","6","21","Docked","Level","22","42","Docked","Level","3"
"5","31","red","frc9225","frc4422","frc5167","95","9","24","Docked","Level","29","51","Docked","Level","1"
"6","37","blue","frc5167","frc7202","frc7054","82","18","35","None","NotLevel","25","37","Docked","NotLevel","0"
"7","45","blue","frc5167","frc6561","frc7602","73","9","24","Docked","Level","22","44","Docked","Level","1"
"8","49","red","frc7810","frc5926","frc5167","67","12","27","Docked","Level","15","35","Docked","Level","1"
"9","54","red","frc3458","frc5167","frc4337","57","12","24","Docked","Level","18","28","Park","NotLevel","0"
"10","59","red","frc5167","frc2960","frc4381","129","22","43","None","Level","44","66","Docked","Level","4"
"11","68","red","frc141","frc3572","frc5167","121","16","34","Docked","Level","45","67","Docked","Level","4"
"12","75","blue","frc9246","frc5167","frc5470","69","6","21","Docked","Level","21","43","Docked","Level","1"
