"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc6615","frc1504","frc6556","66","12","23","None","NotLevel","21","43","Docked","Level","3"
"2","8","blue","frc1504","frc3322","frc5708","76","13","16","None","NotLevel","23","45","Park","Level","0"
"3","14","blue","frc4405","frc107","frc1504","136","15","33","None","Level","51","73","Docked","Level","4"
"4","23","red","frc1504","frc862","frc8424","100","15","21","None","NotLevel","29","59","Docked","Level","1"
"5","29","red","frc8832","frc1504","frc6081","88","12","33","None","Level","23","45","Docked","Level","3"
"6","36","red","frc1504","frc4395","frc1076","78","12","30","None","Level","21","43","Docked","Level","1"
"7","42","blue","frc7221","frc8374","frc1504","76","6","24","None","Level","25","47","Docked","Level","1"
"8","47","red","frc904","frc1504","frc3707","65","15","21","None","NotLevel","22","34","Park","NotLevel","0"
"9","52","red","frc815","frc1504","frc6101","78","12","26","None","NotLevel","30","52","Docked","Level","3"
"10","57","red","frc8895","frc5050","frc1504","143","16","37","None","Level","35","57","Park","Level","3"
"11","61","blue","frc7598","frc3568","frc1504","65","12","33","None","Level","19","27","Docked","NotLevel","1"
"12","67","blue","frc1504","frc9211","frc3773","73","12","23","Docked","NotLevel","23","45","Docked","Level","1"
