"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc5675","frc3875","frc5056","88","0","15","None","Level","31","53","Docked","Level","3"
"2","8","red","frc5675","frc9228","frc3620","69","12","23","Docked","NotLevel","19","41","Docked","Level","1"
"3","15","blue","frc5675","frc8126","frc5980","88","10","25","Docked","Level","25","31","Park","NotLevel","2"
"4","22","red","frc5623","frc5675","frc5247","61","6","18","Docked","Level","28","38","Park","NotLevel","2"
"5","27","blue","frc5182","frc5675","frc4325","91","9","24","Docked","Level","40","62","Docked","Level","3"
"6","39","blue","frc7814","frc5675","frc6588","76","6","21","Docked","Level","33","55","Docked","Level","3"
"7","43","red","frc5675","frc5535","frc74","103","18","33","Docked","Level","38","60","None","Level","1"
"8","48","red","frc2959","frc7809","frc5675","64","10","25","Docked","Level","23","29","Docked","NotLevel","0"
"9","54","blue","frc3658","frc5110","frc5675","79","6","17","None","NotLevel","30","52","Docked","Level","1"
"10","61","red","frc5227","frc5675","frc4776","105","12","27","Docked","Level","41","63","Docked","Level","3"
"11","66","blue","frc3604","frc5927","frc5675","84","12","24","None","Level","42","50","Park","NotLevel","2"
"12","72","blue","frc5610","frc1940","frc5675","72","9","24","Docked","Level","26","48","Park","Level","3"
