"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc5234","frc7166","frc548","99","6","21","None","Level","41","63","Docked","Level","3"
"2","11","blue","frc4003","frc7166","frc9245","76","3","3","None","Level","33","63","Docked","Level","3"
"3","20","red","frc4994","frc7166","frc9227","109","10","31","None","Level","36","58","Park","Level","3"
"4","26","red","frc7166","frc5224","frc7784","47","3","6","None","NotLevel","30","36","Docked","NotLevel","0"
"5","32","red","frc5525","frc894","frc7166","139","12","33","Docked","Level","56","76","Docked","Level","4"
"6","36","blue","frc5216","frc6071","frc7166","113","12","27","None","Level","41","71","Docked","Level","1"
"7","42","blue","frc7166","frc6020","frc5229","36","0","12","Docked","Level","20","24","Docked","NotLevel","0"
"8","51","blue","frc4391","frc8286","frc7166","118","12","33","None","Level","43","65","Docked","Level","3"
"9","59","red","frc7166","frc5547","frc5203","86","3","18","Docked","Level","31","53","Docked","Level","3"
"10","65","blue","frc7166","frc5538","frc302","111","10","31","None","Level","43","65","Docked","Level","3"
"11","69","red","frc3641","frc5248","frc7166","125","8","26","Docked","Level","52","74","Park","Level","4"
"12","73","blue","frc8193","frc7166","frc7823","72","6","24","Docked","Level","32","38","Docked","NotLevel","0"
