"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc2851","frc6096","frc5527","66","3","21","None","Level","21","35","Park","NotLevel","0"
"2","12","red","frc5642","frc5527","frc2337","92","9","20","None","NotLevel","37","57","None","Level","1"
"3","18","red","frc7192","frc5527","frc6566","49","4","7","None","Level","21","27","Park","NotLevel","2"
"4","22","red","frc6616","frc5756","frc5527","53","0","15","None","Level","6","28","Park","Level","1"
"5","27","blue","frc5660","frc3538","frc5527","135","12","30","None","Level","58","80","Park","Level","4"
"6","35","red","frc5530","frc245","frc5527","121","12","30","None","Level","49","71","Docked","Level","3"
"7","44","red","frc5527","frc9251","frc9237","44","12","15","None","Level","17","29","Docked","NotLevel","0"
"8","48","blue","frc9238","frc5527","frc4838","55","6","9","None","Level","11","41","Docked","Level","1"
"9","53","blue","frc5527","frc5525","frc5053","74","10","10","None","Level","32","54","Park","Level","2"
"10","59","red","frc5527","frc910","frc2591","82","9","20","None","NotLevel","25","47","None","Level","3"
"11","65","blue","frc5214","frc5527","frc7211","103","9","23","None","NotLevel","38","60","Park","Level","3"
"12","73","red","frc5527","frc3534","frc4384","98","6","9","None","Level","42","64","Park","Level","0"
