"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc6566","frc247","frc7716","41","3","12","None","Level","12","24","None","Level","2"
"2","9","red","frc1","frc7188","frc7716","86","12","30","None","Level","25","31","Park","Level","2"
"3","16","red","frc2960","frc7716","frc9252","90","6","24","None","Level","34","56","Docked","Level","3"
"4","27","red","frc9205","frc7716","frc5619","18","0","3","None","Level","5","15","None","Level","0"
"5","32","blue","frc5214","frc7716","frc1188","44","6","12","None","Level","2","32","Docked","Level","1"
"6","38","blue","frc7716","frc9212","frc4758","28","3","6","None","Level","10","22","None","Level","0"
"7","45","red","frc5498","frc4130","frc7716","97","18","21","None","NotLevel","36","56","Park","Level","2"
"8","53","blue","frc7716","frc469","frc8774","80","9","15","None","NotLevel","40","50","Docked","NotLevel","2"
"9","62","blue","frc7716","frc8124","frc9226","76","18","27","None","Level","22","34","None","Level","0"
"10","67","blue","frc4776","frc7716","frc1250","125","18","33","None","Level","40","62","Park","Level","3"
"11","73","red","frc7716","frc8115","frc5225","54","7","13","None","Level","14","36","Docked","Level","0"
"12","80","red","frc8826","frc8364","frc7716","44","19","22","None","Level","0","22","None","Level","0"
