"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","red","frc5504","frc7244","frc8041","48","3","15","None","Level","11","33","Park","Level","1"
"2","12","blue","frc6121","frc5504","frc4983","54","9","12","None","NotLevel","28","32","Park","Level","0"
"3","17","blue","frc3767","frc5504","frc6963","92","6","24","None","Level","31","53","Park","Level","1"
"4","24","blue","frc9176","frc5504","frc4377","65","12","15","None","Level","26","40","Park","Level","0"
"5","32","blue","frc5504","frc6098","frc5562","49","3","18","None","Level","8","16","Park","NotLevel","0"
"6","36","red","frc910","frc6122","frc5504","105","9","20","None","NotLevel","33","55","Park","Level","3"
"7","41","red","frc3618","frc5504","frc7155","71","9","12","None","Level","27","49","Park","Level","0"
"8","46","red","frc5504","frc2246","frc7808","35","6","24","None","Level","7","11","Park","NotLevel","0"
"9","53","red","frc5504","frc5183","frc8611","11","0","3","None","Level","4","8","Park","Level","0"
"10","63","blue","frc5501","frc5110","frc5504","60","13","16","None","NotLevel","22","44","Park","Level","0"
"11","68","blue","frc2834","frc5247","frc5504","104","15","33","None","Level","24","46","Park","Level","3"
"12","72","blue","frc3603","frc4398","frc5504","91","9","27","None","Level","22","44","Park","Level","3"
