"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc5980","frc4337","frc107","64","12","27","None","Level","17","37","None","Level","1"
"2","9","blue","frc4337","frc4967","frc5150","77","0","15","None","Level","30","52","Park","Level","1"
"3","19","blue","frc4337","frc6877","frc5927","88","10","28","None","Level","28","50","Docked","Level","1"
"4","24","blue","frc2959","frc3357","frc4337","128","17","35","None","Level","51","73","None","Level","4"
"5","31","blue","frc6090","frc494","frc4337","125","12","27","None","Level","56","78","Docked","Level","4"
"6","39","red","frc7248","frc4337","frc4003","88","6","24","None","Level","29","49","Docked","Level","1"
"7","45","red","frc4337","frc4395","frc8612","45","3","17","None","NotLevel","6","28","Docked","Level","1"
"8","52","blue","frc4337","frc5567","frc6428","59","6","21","None","Level","20","28","Docked","NotLevel","0"
"9","56","red","frc9222","frc4337","frc2054","108","12","27","None","Level","44","66","None","Level","3"
"10","61","red","frc3458","frc4337","frc1025","62","9","20","None","NotLevel","15","37","Park","Level","1"
"11","66","blue","frc4855","frc5702","frc4337","58","6","20","None","NotLevel","18","28","Docked","NotLevel","0"
"12","75","red","frc70","frc5610","frc4337","84","12","12","None","Level","35","57","None","Level","0"
