"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc3023","frc4624","frc3212","52","6","6","None","Level","19","41","Park","Level","0"
"2","13","blue","frc3023","frc4182","frc7530","99","0","18","Docked","Level","36","66","Docked","Level","1"
"3","22","blue","frc3023","frc3926","frc4181","75","6","21","None","Level","17","39","Docked","Level","3"
"4","31","blue","frc7864","frc3023","frc8700","54","13","19","None","NotLevel","20","30","Docked","NotLevel","0"
"5","47","red","frc2052","frc5271","frc3023","99","15","33","None","Level","34","56","Docked","Level","3"
"6","53","red","frc6132","frc3023","frc3100","54","9","20","None","NotLevel","22","34","Park","NotLevel","0"
"7","62","blue","frc1792","frc3023","frc7273","82","6","9","None","Level","28","58","Park","Level","3"
"8","73","red","frc6421","frc3755","frc3023","66","6","21","None","Level","18","40","Docked","Level","1"
"9","80","blue","frc3023","frc3298","frc7578","32","6","21","None","Level","0","6","Docked","NotLevel","0"
"10","89","blue","frc5576","frc2491","frc3023","86","13","31","None","Level","23","45","Docked","Level","3"
