"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc3454","frc2491","frc5434","80","6","12","None","NotLevel","36","58","Docked","Level","2"
"2","14","blue","frc5271","frc2491","frc2549","81","9","15","None","Level","44","56","Docked","NotLevel","0"
"3","22","blue","frc2450","frc2491","frc2502","110","10","28","None","Level","45","67","Docked","Level","3"
"4","31","red","frc2491","frc2606","frc9157","86","6","14","Docked","NotLevel","39","47","Docked","NotLevel","2"
"5","41","blue","frc2500","frc2509","frc2491","93","15","30","Docked","Level","28","48","Docked","Level","3"
"6","52","red","frc2491","frc2515","frc3082","73","6","9","None","Level","29","59","None","Level","1"
"7","62","red","frc2491","frc4632","frc7258","65","3","21","Docked","Level","21","29","Docked","NotLevel","0"
"8","73","blue","frc3007","frc2181","frc2491","82","3","9","None","Level","31","53","Docked","Level","2"
"9","83","blue","frc4663","frc2491","frc2846","92","12","30","None","Level","32","52","Docked","Level","1"
"10","92","red","frc6709","frc3026","frc2491","126","12","27","None","Level","47","69","Docked","Level","3"
