"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc4693","frc4009","frc876","86","6","20","Docked","NotLevel","44","56","None","NotLevel","2"
"2","11","red","frc4693","frc2143","frc3023","65","0","15","Docked","Level","23","45","Docked","Level","3"
"3","15","blue","frc5464","frc4693","frc2654","58","6","9","None","NotLevel","22","34","Park","Level","0"
"4","21","red","frc4693","frc4728","frc2239","114","6","21","Docked","Level","51","73","Docked","Level","4"
"5","32","red","frc4693","frc6628","frc2883","97","6","24","None","Level","38","58","Park","Level","1"
"6","38","red","frc3848","frc4693","frc4207","60","6","24","Docked","Level","24","36","Docked","Level","0"
"7","45","blue","frc7021","frc2530","frc4693","99","12","21","None","NotLevel","48","58","Docked","NotLevel","1"
"8","52","red","frc2129","frc4778","frc4693","105","6","21","Docked","Level","49","69","Park","Level","3"
"9","57","blue","frc4693","frc2451","frc6749","103","16","34","Docked","Level","35","49","None","NotLevel","1"
"10","63","blue","frc3751","frc2227","frc4693","72","6","12","None","Level","23","45","Docked","Level","0"
"11","70","blue","frc7038","frc4693","frc2987","107","9","27","Docked","Level","38","60","Park","Level","1"
"12","74","blue","frc3082","frc2450","frc4693","80","10","28","None","Level","25","47","Docked","Level","1"
"13","79","red","frc6166","frc4693","frc3883","62","3","6","None","NotLevel","35","41","Park","NotLevel","0"
