"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc5801","frc1108","frc1987","165","12","30","Docked","Level","66","88","Park","Level","4"
"2","11","red","frc937","frc1710","frc1987","97","0","11","None","NotLevel","27","49","Park","Level","1"
"3","18","blue","frc1987","frc5918","frc1785","141","15","33","Docked","Level","53","73","Docked","Level","4"
"4","24","red","frc4256","frc1987","frc4959","124","10","28","None","Level","54","76","Docked","Level","2"
"5","29","blue","frc2718","frc1987","frc7563","131","18","36","Docked","Level","48","70","Park","Level","4"
"6","34","red","frc1987","frc7064","frc2345","106","15","33","Docked","Level","33","53","Docked","Level","4"
"7","40","blue","frc1987","frc2359","frc9316","124","9","27","Docked","Level","50","72","Park","Level","4"
"8","44","blue","frc1802","frc5809","frc1987","152","19","34","Docked","Level","61","83","Park","Level","4"
"9","51","blue","frc1825","frc1763","frc1987","129","19","37","Docked","Level","45","67","Park","Level","4"
"10","60","red","frc1982","frc1987","frc5126","150","24","42","Docked","Level","51","73","Park","Level","4"
"11","64","blue","frc1987","frc1775","frc2457","119","15","33","Docked","Level","39","61","Docked","Level","4"
"12","68","red","frc3172","frc1987","frc5268","90","6","17","Docked","NotLevel","46","48","Docked","NotLevel","1"
