"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc5454","frc4187","frc8112","83","12","15","None","Level","31","53","Docked","Level","0"
"2","9","blue","frc1723","frc8112","frc4480","61","0","3","None","NotLevel","18","38","Docked","Level","0"
"3","13","blue","frc8112","frc6817","frc1939","83","12","23","None","NotLevel","36","40","Park","NotLevel","1"
"4","18","blue","frc5918","frc1997","frc8112","34","0","3","None","Level","17","21","Docked","NotLevel","0"
"5","21","red","frc3184","frc3061","frc8112","125","18","32","None","NotLevel","43","73","Docked","Level","4"
"6","26","red","frc8112","frc4187","frc1986","102","12","30","None","Level","30","52","Docked","Level","3"
"7","31","red","frc8112","frc7662","frc4522","124","12","30","None","Level","42","64","Docked","Level","4"
"8","35","red","frc31","frc8112","frc6391","83","9","15","None","NotLevel","23","53","Docked","Level","1"
"9","38","red","frc3284","frc3313","frc8112","113","10","24","None","NotLevel","42","64","Docked","Level","3"
"10","43","blue","frc4455","frc3061","frc8112","66","6","12","None","Level","19","49","Docked","Level","1"
"11","46","blue","frc1706","frc8112","frc5098","108","16","34","None","Level","32","54","Docked","Level","4"
"12","52","red","frc8112","frc5809","frc5968","79","3","18","None","Level","21","41","Park","Level","1"
"13","58","blue","frc9031","frc8112","frc1810","74","6","24","None","Level","10","40","Docked","Level","1"
