"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc4232","frc2978","frc1706","87","9","27","None","Level","26","40","Park","Level","2"
"2","9","blue","frc6391","frc2978","frc9031","83","9","24","None","Level","27","49","Docked","Level","1"
"3","15","blue","frc7472","frc2978","frc1339","80","6","21","None","Level","29","59","Docked","Level","3"
"4","28","blue","frc2062","frc1208","frc2978","56","7","10","None","Level","19","41","Park","Level","0"
"5","34","red","frc2978","frc8069","frc5583","46","6","6","None","Level","13","35","Docked","Level","0"
"6","42","red","frc3792","frc1329","frc2978","28","3","6","None","Level","2","22","None","Level","2"
"7","48","blue","frc2978","frc4330","frc4143","87","15","21","None","NotLevel","34","56","Docked","Level","0"
"8","53","red","frc34","frc8719","frc2978","22","3","3","None","Level","6","14","Park","NotLevel","0"
"9","59","red","frc2978","frc1982","frc5176","65","6","20","None","NotLevel","18","40","Docked","Level","1"
"10","65","blue","frc6823","frc2978","frc5060","78","12","18","None","Level","23","45","Docked","Level","2"
"11","79","red","frc2978","frc2202","frc7117","80","12","26","None","NotLevel","17","39","Park","Level","3"
