"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","10","blue","frc5895","frc9014","frc222","123","15","32","Docked","NotLevel","39","61","Park","Level","4"
"2","17","blue","frc5895","frc1812","frc4342","138","18","35","Docked","NotLevel","51","73","Park","Level","4"
"3","28","blue","frc4373","frc5895","frc6921","82","22","40","Docked","Level","17","27","Docked","NotLevel","0"
"4","40","red","frc486","frc5895","frc1391","156","27","48","None","Level","51","73","Park","Level","4"
"5","49","red","frc9116","frc9015","frc5895","123","18","39","Docked","Level","42","54","Docked","Level","3"
"6","56","blue","frc708","frc1676","frc5895","161","15","36","Docked","Level","63","85","Docked","Level","4"
"7","65","red","frc25","frc5895","frc2722","136","15","33","None","Level","60","68","Park","NotLevel","3"
"8","75","blue","frc5401","frc1640","frc5895","135","16","37","None","Level","51","73","Park","Level","2"
"9","82","red","frc193","frc4573","frc5895","142","16","34","None","Level","56","78","Park","Level","4"
"10","93","blue","frc5895","frc9027","frc293","146","24","42","None","Level","45","67","Park","Level","4"
"11","108","red","frc5895","frc2180","frc2590","148","24","45","Docked","Level","53","73","Docked","Level","2"
"12","117","red","frc303","frc5895","frc3142","163","12","30","None","Level","52","74","Park","Level","4"
