"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc3039","frc1912","frc7255","100","12","27","Docked","Level","33","53","Docked","Level","3"
"2","10","red","frc2190","frc3039","frc7474","90","6","21","Docked","Level","29","49","Docked","Level","3"
"3","14","red","frc4107","frc1927","frc3039","84","16","25","None","Level","35","49","Docked","NotLevel","2"
"4","19","blue","frc3039","frc3753","frc2992","99","9","27","None","Level","35","57","Docked","Level","3"
"5","24","red","frc364","frc590","frc3039","101","15","29","None","NotLevel","37","57","Docked","Level","1"
"6","27","red","frc7094","frc3039","frc118","129","24","45","Docked","Level","37","59","Docked","Level","3"
"7","34","blue","frc3039","frc8808","frc7428","107","12","33","Docked","Level","37","59","Park","Level","3"
"8","37","red","frc4336","frc3039","frc8044","112","12","27","None","Level","43","65","Park","Level","4"
"9","40","blue","frc2183","frc3039","frc3616","105","18","21","None","NotLevel","42","64","Docked","Level","3"
"10","47","blue","frc8732","frc4087","frc3039","103","12","30","None","Level","31","53","Docked","Level","3"
"11","50","blue","frc538","frc3468","frc3039","100","9","30","Docked","Level","35","45","Docked","NotLevel","3"
"12","58","red","frc4336","frc3039","frc5045","128","18","36","None","Level","45","67","Docked","Level","4"
"13","63","blue","frc3039","frc2221","frc2992","88","12","27","None","Level","37","41","Docked","NotLevel","2"
