"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc6676","frc3794","frc3478","71","0","3","None","NotLevel","23","53","Docked","Level","3"
"2","9","blue","frc3794","frc8740","frc6702","37","4","7","None","Level","6","20","Park","Level","2"
"3","19","blue","frc7725","frc3794","frc6832","30","0","12","None","Level","6","18","Park","Level","0"
"4","26","red","frc3794","frc5932","frc5133","37","3","6","None","Level","9","31","Docked","Level","2"
"5","33","blue","frc7421","frc4635","frc3794","86","10","22","None","Level","27","49","Docked","Level","3"
"6","37","blue","frc6348","frc3794","frc3158","48","6","9","None","Level","17","39","None","Level","2"
"7","41","red","frc9060","frc6647","frc3794","66","3","18","None","Level","16","38","Docked","Level","1"
"8","51","red","frc4775","frc3794","frc4782","40","0","14","None","NotLevel","14","26","Docked","Level","0"
"9","55","blue","frc3794","frc4010","frc9213","73","6","21","None","Level","12","42","Park","Level","3"
"10","63","blue","frc2283","frc8293","frc3794","36","7","10","None","NotLevel","6","26","Park","Level","0"
