"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc6106","frc6170","frc5696","72","9","27","Docked","Level","26","40","Docked","Level","2"
"2","7","blue","frc6106","frc9118","frc7102","83","16","22","None","Level","24","46","Park","Level","2"
"3","12","red","frc6106","frc4775","frc4723","59","4","7","None","Level","20","42","Docked","Level","2"
"4","17","blue","frc9065","frc6106","frc3794","56","6","9","None","NotLevel","10","32","None","Level","0"
"5","26","blue","frc6606","frc6647","frc6106","62","0","12","None","Level","18","30","Park","Level","0"
"6","32","red","frc5948","frc6106","frc6017","60","6","12","None","NotLevel","19","33","Park","NotLevel","2"
"7","35","blue","frc5705","frc9053","frc6106","47","0","15","Docked","Level","15","27","Park","Level","0"
"8","43","blue","frc6106","frc2283","frc3472","67","4","4","None","Level","24","38","Docked","Level","0"
"9","47","red","frc4731","frc6106","frc6348","76","15","30","None","Level","19","41","Docked","Level","1"
"10","52","red","frc5887","frc6106","frc3354","41","4","7","None","Level","15","29","Park","Level","0"
"11","57","red","frc3158","frc4355","frc6106","40","7","13","None","NotLevel","14","22","Docked","NotLevel","0"
"12","63","blue","frc4735","frc9282","frc6106","57","8","11","None","Level","14","36","None","Level","2"
