"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc8558","frc6200","frc7037","39","7","7","None","Level","10","22","Docked","Level","0"
"2","14","blue","frc6200","frc4401","frc4355","56","4","10","None","Level","29","41","None","Level","0"
"3","19","blue","frc4403","frc8291","frc6200","50","6","9","None","Level","21","31","Docked","Level","0"
"4","28","red","frc8266","frc6200","frc3522","49","13","16","None","Level","11","21","Docked","NotLevel","0"
"5","32","blue","frc6200","frc7725","frc9118","71","3","18","None","Level","16","38","None","Level","1"
"6","38","blue","frc6652","frc6483","frc6200","39","0","3","None","NotLevel","11","31","Docked","Level","0"
"7","42","blue","frc6200","frc8290","frc9120","55","3","3","None","Level","13","35","Park","Level","2"
"8","55","red","frc9103","frc6200","frc8748","46","0","6","None","Level","10","30","Docked","Level","2"
"9","60","red","frc9134","frc7040","frc6200","70","9","23","Docked","NotLevel","17","37","None","Level","1"
"10","64","red","frc6200","frc7018","frc5705","63","6","9","None","Level","22","44","Docked","Level","0"
"11","72","blue","frc5959","frc5312","frc6200","65","6","20","Docked","NotLevel","31","35","Docked","NotLevel","0"
