"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc5679","frc9150","frc5511","53","0","15","Docked","Level","13","33","None","Level","1"
"2","7","red","frc5511","frc4561","frc9000","56","6","18","None","Level","16","28","Docked","NotLevel","2"
"3","14","blue","frc3506","frc5511","frc6639","62","6","24","None","Level","16","38","Docked","Level","1"
"4","17","blue","frc5511","frc4795","frc6888","56","3","18","None","Level","8","28","Docked","Level","2"
"5","21","red","frc900","frc9005","frc5511","45","0","3","None","Level","8","20","None","Level","0"
"6","25","blue","frc6932","frc9000","frc5511","75","4","10","None","Level","10","40","Park","Level","3"
"7","34","blue","frc5511","frc7890","frc8727","79","6","21","Docked","Level","33","53","None","Level","3"
"8","38","red","frc1533","frc5511","frc5727","52","6","21","None","Level","9","21","Docked","Level","0"
"9","43","red","frc8429","frc5511","frc6004","65","10","25","Docked","Level","25","35","None","NotLevel","2"
"10","48","blue","frc6502","frc5511","frc3196","57","0","15","Docked","Level","12","22","Docked","Level","0"
"11","51","blue","frc5511","frc6729","frc5727","58","3","14","Docked","NotLevel","24","34","Docked","Level","0"
"12","55","blue","frc4290","frc587","frc5511","101","6","21","Docked","Level","43","65","Docked","Level","3"
