"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc9000","frc8738","frc587","100","21","35","None","NotLevel","30","50","None","Level","1"
"2","8","blue","frc3506","frc8738","frc7890","133","20","34","None","NotLevel","52","74","Park","Level","4"
"3","15","blue","frc8738","frc2642","frc7763","108","18","21","None","Level","51","57","Docked","NotLevel","1"
"4","26","blue","frc8738","frc5160","frc6894","98","16","34","None","Level","32","54","Docked","Level","3"
"5","30","blue","frc5727","frc8738","frc2059","102","18","21","None","Level","36","66","Docked","Level","1"
"6","34","red","frc8727","frc3196","frc8738","122","18","36","None","Level","39","61","Park","Level","4"
"7","41","blue","frc2640","frc4795","frc8738","94","15","30","None","Level","32","54","Docked","Level","1"
"8","48","red","frc8738","frc6502","frc3229","98","18","18","None","Level","36","50","None","Level","3"
"9","59","blue","frc900","frc8738","frc4828","125","18","39","None","Level","44","66","None","Level","4"
"10","64","red","frc4829","frc4935","frc8738","103","10","24","None","NotLevel","39","69","Park","Level","1"
"11","71","red","frc5518","frc5607","frc8738","117","15","33","None","Level","49","69","Docked","Level","3"
"12","75","red","frc8738","frc9005","frc1533","104","9","27","None","Level","40","62","Docked","Level","1"
