"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc6908","frc7671","frc4816","31","0","6","None","Level","10","20","Docked","Level","2"
"2","10","red","frc9042","frc4816","frc7671","51","3","9","None","Level","10","32","Park","Level","2"
"3","15","red","frc4829","frc7671","frc8738","32","3","3","None","Level","17","19","None","Level","0"
"4","19","blue","frc4828","frc3737","frc7671","46","3","9","None","Level","10","32","Docked","Level","0"
"5","22","red","frc9008","frc9259","frc7671","72","3","18","None","Level","24","44","Docked","Level","3"
"6","30","blue","frc3459","frc7671","frc8746","25","0","3","None","NotLevel","12","12","None","Level","0"
"7","34","blue","frc7671","frc8758","frc6500","53","3","12","None","Level","16","36","None","Level","2"
"8","37","red","frc3229","frc3822","frc7671","45","9","15","None","Level","11","15","Docked","Level","0"
"9","43","blue","frc7671","frc6004","frc2059","71","4","7","None","Level","29","59","Docked","Level","3"
"10","46","blue","frc8304","frc7671","frc3336","61","0","6","None","Level","23","45","Park","Level","1"
"11","51","red","frc7671","frc435","frc8205","52","3","6","None","Level","22","36","None","Level","2"
"12","57","blue","frc7671","frc8205","frc5518","65","3","17","None","NotLevel","11","33","Docked","Level","3"
