"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc6932","frc8030","frc6214","48","0","15","Docked","Level","13","33","None","Level","1"
"2","7","red","frc8833","frc4290","frc6932","39","9","12","None","Level","22","22","Docked","NotLevel","0"
"3","10","red","frc5679","frc1533","frc6932","63","0","3","None","Level","20","50","Park","Level","3"
"4","15","blue","frc8304","frc9296","frc6932","48","3","6","None","NotLevel","10","32","Docked","Level","0"
"5","23","blue","frc6932","frc3506","frc5727","131","12","30","None","Level","49","71","Docked","Level","4"
"6","26","blue","frc6932","frc6894","frc3459","78","0","18","None","Level","23","45","Docked","Level","3"
"7","31","blue","frc9297","frc9298","frc6932","54","3","6","None","Level","13","33","Docked","Level","2"
"8","35","red","frc6932","frc8727","frc7270","91","6","17","None","NotLevel","29","49","Park","Level","3"
"9","38","red","frc1225","frc6932","frc4829","79","6","17","None","NotLevel","25","47","None","Level","3"
"10","45","blue","frc4935","frc6932","frc6639","66","7","13","None","Level","23","43","Docked","Level","0"
"11","50","red","frc9150","frc6932","frc8727","76","6","24","None","Level","20","42","Park","Level","1"
"12","53","red","frc6512","frc6932","frc9198","31","7","7","None","NotLevel","6","14","Docked","NotLevel","0"
