"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc6908","frc6729","frc8738","51","6","9","None","NotLevel","15","37","Docked","Level","0"
"2","8","red","frc6502","frc5607","frc6729","69","3","9","None","NotLevel","23","45","Docked","Level","2"
"3","12","red","frc6729","frc7715","frc6894","65","0","6","None","NotLevel","27","49","Docked","Level","2"
"4","18","red","frc8205","frc6729","frc7443","60","3","18","None","Level","24","32","Docked","NotLevel","0"
"5","25","red","frc6729","frc5518","frc2640","83","12","23","None","NotLevel","28","50","Docked","Level","3"
"6","30","red","frc7763","frc6729","frc3336","102","6","21","Docked","Level","26","46","Docked","Level","3"
"7","37","blue","frc2642","frc6729","frc7270","86","6","24","None","Level","30","52","Docked","Level","3"
"8","40","blue","frc6512","frc8757","frc6729","59","4","10","None","NotLevel","17","39","Docked","Level","0"
"9","48","blue","frc4816","frc5607","frc6729","70","3","21","None","Level","19","39","Docked","Level","1"
"10","52","red","frc6214","frc4534","frc6729","76","6","12","None","Level","24","54","Docked","Level","3"
"11","56","blue","frc6729","frc3822","frc3737","68","0","17","None","NotLevel","12","34","Docked","Level","3"
"12","60","blue","frc6729","frc9297","frc5190","119","7","25","None","Level","27","49","Docked","Level","3"
