"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc5160","frc9259","frc8429","67","6","24","None","Level","31","43","None","NotLevel","0"
"2","8","blue","frc9259","frc5511","frc5919","26","3","6","None","Level","20","20","Park","NotLevel","0"
"3","11","red","frc9259","frc8758","frc9000","59","7","19","None","Level","10","30","Docked","Level","1"
"4","17","red","frc9259","frc8090","frc6240","13","0","0","None","Level","4","8","Park","Level","0"
"5","21","blue","frc4795","frc4561","frc9259","118","16","31","None","Level","30","52","Docked","Level","3"
"6","24","red","frc9259","frc7715","frc8757","43","0","3","None","Level","8","30","None","Level","0"
"7","29","blue","frc587","frc9259","frc8746","79","6","21","None","Level","26","48","None","Level","3"
"8","33","blue","frc2059","frc4534","frc9259","43","9","20","None","NotLevel","14","18","Park","NotLevel","2"
"9","37","blue","frc7890","frc2655","frc9259","127","12","30","None","Level","45","67","None","Level","4"
"10","42","red","frc9008","frc9259","frc7671","28","3","15","None","Level","7","13","Park","NotLevel","0"
"11","46","blue","frc8804","frc9259","frc900","89","6","21","None","Level","28","48","Docked","Level","3"
"12","50","blue","frc8758","frc7763","frc9259","57","0","0","None","NotLevel","30","52","Park","Level","0"
