"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc7235","frc3630","frc4226","50","10","10","None","Level","10","30","None","Level","0"
"2","11","red","frc2531","frc7235","frc7257","73","6","9","None","NotLevel","34","54","Park","Level","0"
"3","21","blue","frc7235","frc4239","frc3026","66","6","24","None","Level","20","42","Park","Level","3"
"4","28","red","frc7235","frc877","frc4663","67","10","28","None","Level","22","34","Park","NotLevel","0"
"5","40","blue","frc8188","frc4198","frc7235","81","7","10","None","NotLevel","29","51","Docked","Level","2"
"6","46","blue","frc6146","frc7235","frc3740","113","14","32","None","Level","39","61","None","Level","3"
"7","54","blue","frc7235","frc8422","frc4360","55","10","19","None","Level","20","26","None","NotLevel","0"
"8","62","blue","frc3691","frc8255","frc7235","47","4","10","None","Level","15","37","Park","Level","0"
"9","80","red","frc537","frc7235","frc3313","84","8","11","None","Level","28","58","Park","Level","1"
"10","86","red","frc8586","frc3300","frc7235","36","7","16","None","Level","0","20","Park","Level","0"
