"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","8","blue","frc6328","frc8023","frc1058","136","18","24","None","NotLevel","60","82","Docked","Level","3"
"2","14","red","frc6933","frc6328","frc1153","151","37","58","None","Level","52","58","Park","NotLevel","3"
"3","21","blue","frc4041","frc6328","frc1740","157","25","46","None","Level","49","71","Docked","Level","4"
"4","26","red","frc6328","frc175","frc1729","137","19","40","None","Level","47","77","Park","Level","1"
"5","31","blue","frc6328","frc4048","frc1922","165","24","42","None","Level","58","88","Docked","Level","4"
"6","42","red","frc509","frc230","frc6328","181","34","55","None","Level","56","86","Park","Level","4"
"7","47","red","frc8567","frc4909","frc6328","141","24","42","None","Level","52","74","Docked","Level","2"
"8","57","blue","frc9055","frc6328","frc1247","118","16","31","Docked","Level","37","67","Docked","Level","1"
"9","64","blue","frc6328","frc501","frc2170","117","18","36","None","Level","26","56","Docked","Level","4"
"10","72","blue","frc1768","frc8046","frc6328","162","28","46","None","Level","59","81","Park","Level","4"
"11","79","red","frc138","frc58","frc6328","159","28","49","None","Level","58","80","Docked","Level","4"
"12","86","red","frc178","frc6328","frc1757","150","34","52","None","Level","46","68","Park","Level","4"
