"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc1023",62.2676161367267,11.0470709890881,1.28851618632514,"0.1","0",30.4996715484368,8.61409322892752,"1","0.8",0.177412781707124,"1.4470182957083"
"2","frc11",48.9518758219465,15.389879012609,1.57045730019369,"0.3","0.2",23.7689487464229,7.36484408830775,"0.7","0.7",0.314387932110852,"0.99131279314673"
"3","frc1123",49.4460235911009,12.3199190118248,1.92833595938619,"0","0",24.0874502639538,6.49129553180535,"0.7","0.6",0.249158943774845,"0.457910761369792"
"4","frc1156",49.8444281716447,10.9468142201387,0.785865839946477,"0.9","0.9",32.9482209158327,6.88030385416612,"1","1",0.219619616909681,"1.38732321172652"
"5","frc1466",48.9231392875519,16.1551562107251,1.02670323909049,"1","0.9",21.8549276961937,6.29526198367256,"0.9","0.7",0.330215036197313,"0.563476876983588"
"6","frc1468",54.2559761788456,9.11388170139924,1.27444167835107,"0.2","0.1",33.3502672071946,7.81336155835946,"0.6","0.5",0.167979314782889,"0.834004744981421"
"7","frc1501",54.0435138065686,15.633790535711,1.56253956268173,"0.1","0",22.6519402231301,6.68807289544824,"0.7","0.6",0.28928153324129,"0.800436434581696"
"8","frc1538",66.3317113806051,16.5551824890819,2.20587800520635,"0","0",33.1740063740867,9.73478379846654,"0.7","0.6",0.249581718072821,"1.46104283654737"
"9","frc1629",52.7622212385936,13.3635349326683,1.23917013344009,"0.7","0.5",28.7954739418279,7.06573730518899,"1","0.8",0.253278474995161,"0.635536071170117"
"10","frc1746",65.0207264330815,13.6167348256416,1.98875929891259,"0","0",37.2430259855646,9.38770795573093,"0.7","0.6",0.209421450245649,"1.95382611578402"
"11","frc1757",49.41750090953,16.2108465572544,1.52818830865789,"0.2","0.1",26.0099659226475,6.35168715724348,"0.8","0.7",0.328038574571628,"0.938618492017696"
"12","frc177",56.7169173647782,11.6123140084213,1.699836147746,"0.1","0.1",28.3843983911447,7.25918042030719,"0.9","0.7",0.204741628211845,"0.759481364927694"
