"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","8","red","frc3218","frc4419","frc7072","181","18","39","None","Level","53","83","Docked","Level","4"
"2","23","blue","frc4099","frc4419","frc1757","152","23","41","Docked","Level","61","81","Docked","Level","4"
"3","36","blue","frc4905","frc1123","frc4419","152","19","40","None","Level","60","82","Park","Level","4"
"4","44","blue","frc4419","frc4909","frc7428","103","6","12","None","Level","61","61",NA,"NotLevel","1"
"5","59","red","frc4419","frc4145","frc177","146","18","27","None","Level","54","84",NA,"Level","1"
"6","76","red","frc4419","frc1023","frc5990","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","86","blue","frc6909","frc1629","frc4419","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"8","98","red","frc3572","frc4419","frc3932","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"9","115","blue","frc1156","frc1816","frc4419","-1",NA,NA,NA,NA,NA,NA,"Park",NA,NA
"10","128","red","frc4419","frc1501","frc955","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
