"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","red","frc6324","frc8410","frc4564","92","8","26","None","Level","39","51","Park","Level","2"
"2","14","red","frc6762","frc319","frc8410","100","12","30","None","Level","28","40","Docked","NotLevel","2"
"3","19","blue","frc811","frc3597","frc8410","73","13","31","Docked","Level","15","37","Docked","Level","3"
"4","27","blue","frc8410","frc6329","frc1729","131","16","37","None","Level","47","69","Docked","Level","4"
"5","31","red","frc8410","frc3451","frc501","101","4","22","Docked","Level","27","49","Docked","Level","2"
"6","36","blue","frc1350","frc8410","frc172","86","13","28","Docked","Level","26","48","Docked","Level","3"
"7","44","blue","frc8046","frc58","frc8410","128","9","30","None","Level","51","73","Docked","Level","2"
"8","51","red","frc1831","frc8410","frc1474","85","12","23","Docked","NotLevel","22","52","Park","Level","1"
"9","61","red","frc2342","frc1721","frc8410","89","16","34","None","Level","18","40","Park","Level","3"
"10","69","red","frc8410","frc4034","frc1099","56","3","18","Docked","Level","21","23","Docked","NotLevel","0"
"11","73","blue","frc9101","frc8410","frc9055","90","10","28","Docked","Level","20","42","Docked","Level","2"
"12","79","blue","frc8410","frc131","frc4473","123","12","30","Docked","Level","51","73","Docked","Level","4"
