"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc1307","frc8023","frc501","54","4","7","None","Level","12","32","Docked","Level","2"
"2","8","red","frc2876","frc4761","frc8023","48","4","7","None","NotLevel","16","36","Docked","Level","0"
"3","14","blue","frc1058","frc8023","frc5491","83","3","24","Docked","Level","14","34","Docked","Level","1"
"4","22","red","frc4925","frc5687","frc8023","75","6","21","None","Level","29","49","Docked","Level","1"
"5","27","red","frc8023","frc3597","frc1512","68","6","12","None","Level","29","51","Docked","Level","2"
"6","34","blue","frc1831","frc8023","frc151","44","0","15","Docked","Level","10","24",NA,"Level","0"
"7","45","red","frc8023","frc467","frc6763","67","7","13","None","Level","16","34",NA,"NotLevel","0"
"8","50","blue","frc8023","frc3451","frc6762","57","0","14","Docked","NotLevel","16","38",NA,"Level","3"
"9","55","blue","frc663","frc8023","frc811","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"10","62","red","frc1277","frc3467","frc8023","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"11","70","blue","frc95","frc1922","frc8023","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"12","75","blue","frc8023","frc6161","frc3566","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
