"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc56","frc125","frc8513","89","20","38","None","Level","26","36","Docked","NotLevel","2"
"2","10","blue","frc56","frc5732","frc102","60","14","20","None","NotLevel","15","35","Docked","Level","0"
"3","15","blue","frc193","frc56","frc222","88","10","22","None","Level","29","51","Park","Level","1"
"4","19","red","frc3142","frc484","frc56","62","7","7","None","Level","20","50","Docked","Level","3"
"5","25","red","frc56","frc2577","frc9116","73","8","11","None","Level","22","52","Park","Level","3"
"6","32","red","frc6945","frc56","frc219","55","10","21","None","NotLevel","18","24","Docked","NotLevel","2"
"7","38","blue","frc56","frc223","frc1811","64","7","10","None","NotLevel","22","44","Docked","Level","0"
"8","44","blue","frc1143","frc555","frc56","33","4","4","None","NotLevel","9","29","Docked","Level","0"
"9","50","red","frc1672","frc1676","frc56","98","16","27","None","NotLevel","39","61","Docked","Level","3"
"10","57","blue","frc6860","frc56","frc3515","49","4","7","None","NotLevel","10","32","Docked","Level","0"
"11","63","red","frc2600","frc5438","frc56","52","7","10","None","Level","25","37","Park","NotLevel","0"
"12","73","blue","frc11","frc56","frc41","66","0","8","None","NotLevel","31","53","Docked","Level","1"
