"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc316","frc2554","frc2016","73","9","23","Docked","NotLevel","23","45","Docked","Level","3"
"2","7","red","frc316","frc9015","frc8707","56","3","18","Docked","Level","21","33","Docked","NotLevel","0"
"3","11","blue","frc293","frc316","frc1089","113","6","9","None","NotLevel","52","74","Docked","Level","3"
"4","17","blue","frc1807","frc316","frc714","105","6","24","None","Level","51","61","Docked","Level","2"
"5","21","red","frc293","frc9116","frc316","86","10","28","Docked","Level","26","48","Docked","Level","3"
"6","28","red","frc316","frc8130","frc303","82","0","12","Docked","Level","38","60","Docked","Level","1"
"7","33","blue","frc8704","frc4652","frc316","77","10","18","Docked","NotLevel","27","49","Docked","Level","3"
"8","42","red","frc316","frc1403","frc8075","112","12","30","Docked","Level","40","62","Park","Level","4"
"9","46","red","frc4653","frc2191","frc316","117","6","24","Docked","Level","46","68","Docked","Level","4"
"10","49","blue","frc8714","frc316","frc5684","81","6","24","Docked","Level","25","47","Docked","Level","1"
"11","52","red","frc1257","frc7587","frc316","100","6","24","Docked","Level","39","61","Docked","Level","3"
"12","62","blue","frc6897","frc316","frc1812","121","21","36","Docked","Level","45","55","Docked","NotLevel","1"
