"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc5438","frc4361","frc3637","126","9","30","None","Level","34","64","Docked","Level","3"
"2","9","red","frc3637","frc293","frc1403","102","6","27","None","Level","52","60","None","NotLevel","2"
"3","12","red","frc1089","frc752","frc3637","63","6","9","None","Level","32","44","Docked","NotLevel","1"
"4","20","red","frc3637","frc41","frc4750","66","12","18","None","Level","26","38","None","Level","0"
"5","24","blue","frc2577","frc3637","frc5992","87","12","23","None","NotLevel","40","54","Park","NotLevel","0"
"6","33","red","frc2495","frc1923","frc3637","159","12","33","None","Level","61","81","Docked","Level","4"
"7","36","blue","frc3637","frc1626","frc25","136","12","33","None","Level","51","73","Park","Level","3"
"8","43","blue","frc204","frc3637","frc8706","80","12","18","None","Level","25","47","Docked","Level","2"
"9","49","red","frc1672","frc6860","frc3637","67","10","13","None","NotLevel","22","44","Docked","Level","0"
"10","54","blue","frc1279","frc3637","frc3515","94","16","25","None","Level","41","49","None","NotLevel","3"
"11","61","blue","frc2600","frc3637","frc6016","68","3","6","None","Level","32","52","Docked","Level","0"
"12","70","blue","frc3637","frc3340","frc7587","104","9","30","None","Level","32","52","None","Level","3"
