"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc1812","frc1168","frc2191","90","7","25","None","Level","23","45","Park","Level","3"
"2","9","red","frc1168","frc6921","frc204","58","13","24","Docked","NotLevel","19","29","Docked","Level","0"
"3","15","blue","frc1712","frc8704","frc1168","59","0","3","None","Level","21","41","Park","Level","2"
"4","20","red","frc1807","frc6226","frc1168","129","9","24","None","Level","43","65","Park","Level","3"
"5","26","blue","frc1168","frc8130","frc2722","71","8","17","None","Level","24","44","Docked","Level","0"
"6","30","blue","frc7110","frc1168","frc816","104","14","29","None","Level","33","55","Park","Level","3"
"7","33","blue","frc8721","frc25","frc1168","82","0","15","None","Level","30","52","None","Level","3"
"8","42","red","frc5895","frc5457","frc1168","89","6","17","None","NotLevel","48","52","Park","Level","2"
"9","47","blue","frc1168","frc87","frc1807","110","13","31","None","Level","34","54","Park","Level","3"
"10","52","red","frc2559","frc1168","frc203","53","10","25","None","Level","13","23","Docked","Level","0"
"11","56","red","frc5113","frc1168","frc1647","30","12","15","None","NotLevel","7","15","Park","NotLevel","0"
"12","59","red","frc1168","frc4342","frc272","120","16","34","None","Level","47","61","Park","NotLevel","3"
