"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc8706","frc1676","frc834","111","12","26","None","NotLevel","45","65","None","Level","4"
"2","10","red","frc6945","frc8706","frc1811","56","0","15","None","Level","16","36","Docked","Level","1"
"3","13","red","frc56","frc8706","frc714","53","6","9","None","NotLevel","12","34","None","Level","0"
"4","18","blue","frc3340","frc8706","frc4573","25","4","10","None","Level","6","10","Docked","NotLevel","0"
"5","26","blue","frc3142","frc4652","frc8706","81","4","22","None","Level","22","44","None","Level","1"
"6","30","blue","frc8706","frc8628","frc9015","55","6","12","None","NotLevel","8","38","None","Level","1"
"7","35","blue","frc8706","frc8117","frc1989","29","6","6","None","Level","9","23","Docked","NotLevel","0"
"8","38","red","frc303","frc4285","frc8706","94","7","7","None","NotLevel","23","43","Docked","Level","2"
"9","43","blue","frc4361","frc8706","frc222","101","12","26","None","NotLevel","47","55","None","NotLevel","1"
"10","52","blue","frc8706","frc2070","frc7045","85","12","27","None","Level","39","43","Docked","NotLevel","0"
"11","55","red","frc193","frc8707","frc8706","61","4","19","None","Level","10","32","None","Level","1"
"12","60","red","frc1143","frc223","frc8706","60","6","24","None","Level","19","31","Docked","Level","0"
