"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc988","frc9151","frc9002","34","3","3","None","Level","6","26","Docked","Level","0"
"2","10","blue","frc5924","frc9002","frc4627","101","11","29","None","Level","23","45","Docked","Level","3"
"3","20","red","frc9002","frc6519","frc987","97","13","30","None","NotLevel","37","47","Docked","NotLevel","3"
"4","28","blue","frc7424","frc4270","frc9002","102","9","24","None","Level","31","53","Docked","Level","4"
"5","34","blue","frc597","frc8005","frc9002","119","9","27","None","Level","26","48","Docked","Level","4"
"6","39","red","frc6824","frc7425","frc9002","77","7","16","None","Level","14","34","Docked","Level","2"
"7","47","red","frc9002","frc968","frc5049","55","3","18","None","Level","17","27","Docked","Level","1"
"8","55","blue","frc9002","frc2429","frc9287","96","12","30","None","Level","31","51","Docked","Level","3"
"9","63","blue","frc9018","frc9002","frc8022","54","7","10","None","Level","12","34","Docked","Level","0"
"10","69","blue","frc8066","frc9002","frc8387","55","3","18","None","Level","10","32","Docked","Level","1"
"11","76","blue","frc6995","frc9002","frc7654","35","3","9","None","Level","6","26","Docked","Level","0"
"12","83","red","frc9002","frc60","frc4501","100","15","33","None","Level","20","42","Docked","Level","1"
