"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc4458","frc7636","frc369","59","16","19","None","NotLevel","21","35","Park","Level","0"
"2","15","blue","frc7497","frc369","frc5659","63","12","26","Docked","NotLevel","19","27","Docked","NotLevel","0"
"3","22","blue","frc3015","frc7673","frc369","127","4","19","None","Level","43","63","Docked","Level","3"
"4","27","blue","frc6593","frc369","frc527","82","10","22","Docked","Level","23","45","Park","Level","1"
"5","37","red","frc5736","frc569","frc369","93","12","24","None","Level","32","54","Docked","Level","1"
"6","43","red","frc1155","frc369","frc5016","101","15","33","Docked","Level","31","53","Park","Level","1"
"7","49","blue","frc369","frc3171","frc7759","131","15","30","None","Level","41","61","Park","Level","4"
"8","60","red","frc369","frc333","frc3950","121","10","25","None","Level","41","71","Park","Level","2"
"9","68","red","frc6969","frc369","frc7004","50","10","16","None","Level","21","29","Docked","NotLevel","0"
"10","75","red","frc369","frc2875","frc870","126","15","30","None","Level","39","61","Docked","Level","4"
