"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","8","blue","frc7673","frc564","frc358","63","3","3","None","NotLevel","23","45","Park","Level","0"
"2","16","red","frc358","frc2601","frc533","107","18","36","None","Level","32","46","None","NotLevel","2"
"3","21","blue","frc5736","frc514","frc358","87","18","30","None","Level","34","42","Docked","NotLevel","0"
"4","32","red","frc358","frc1468","frc1803","86","12","27","None","Level","39","49","None","NotLevel","2"
"5","37","red","frc6911","frc1880","frc358","73","9","24","None","Level","22","44","Park","Level","3"
"6","44","red","frc358","frc1554","frc4567","37","6","6","None","Level","16","26","Docked","NotLevel","0"
"7","52","blue","frc9184","frc358","frc2872","80","12","18","None","NotLevel","27","47","Park","Level","0"
"8","60","red","frc6636","frc358","frc3204","33","6","6","None","NotLevel","20","22","Park","Level","0"
"9","69","red","frc2638","frc4571","frc358","67","7","18","None","NotLevel","24","44","None","Level","1"
"10","74","blue","frc870","frc358","frc7539","137","21","39","None","Level","46","68","Docked","Level","4"
