"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","red","frc369","frc5665","frc1601","87","12","27","None","Level","20","40","None","Level","3"
"2","16","blue","frc335","frc9052","frc369","87","6","17","Docked","NotLevel","30","50","Park","Level","3"
"3","21","blue","frc2344","frc426","frc369","100","6","20","Docked","NotLevel","48","70","Park","Level","3"
"4","28","blue","frc369","frc6636","frc8159","76","6","12","None","NotLevel","32","54","Docked","Level","0"
"5","41","red","frc369","frc4012","frc2869","95","4","7","None","Level","46","68","Docked","Level","3"
"6","46","red","frc3017","frc369","frc6911","146","12","33","None","Level","41","63","Docked","Level","4"
"7","53","blue","frc6806","frc1880","frc369","98","12","18","None","Level","30","60","None","Level","1"
"8","60","blue","frc334","frc369","frc8346","56","9","12","None","Level","14","34","Park","Level","0"
"9","75","red","frc6880","frc369","frc2601","122","12","30","None","Level","52","72","Park","Level","4"
"10","84","red","frc369","frc354","frc1155","114","10","16","None","Level","48","68","Docked","Level","3"
