"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc533","frc2053","frc3360","76","12","15","None","Level","29","51","Docked","Level","2"
"2","13","blue","frc3181","frc3990","frc533","125","12","27","None","Level","51","73","None","Level","4"
"3","20","red","frc4150","frc533","frc3799","59","9","18","None","NotLevel","25","31","Docked","NotLevel","2"
"4","31","blue","frc1511","frc533","frc3838","49","12","15","None","NotLevel","7","29","Docked","Level","0"
"5","38","red","frc533","frc1405","frc20","91","15","33","None","Level","26","48","Docked","Level","3"
"6","46","blue","frc7636","frc578","frc533","94","12","15","None","NotLevel","37","59","Park","Level","2"
"7","56","red","frc1493","frc6806","frc533","114","16","31","None","Level","33","63","None","Level","3"
"8","67","red","frc533","frc1585","frc229","25","9","9","None","NotLevel","9","11","Docked","NotLevel","0"
"9","74","red","frc424","frc533","frc63","87","9","20","Docked","NotLevel","35","57","None","Level","1"
"10","83","blue","frc2228","frc533","frc1551","101","18","36","None","Level","25","45","Docked","Level","3"
