"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc6300","frc4458","frc424","94","12","30","None","Level","24","44","Docked","Level","3"
"2","16","red","frc358","frc4458","frc20","98","12","30","None","Level","33","53","None","Level","1"
"3","22","blue","frc4122","frc4458","frc639","113","18","36","Docked","Level","40","62","Docked","Level","3"
"4","28","blue","frc4458","frc3950","frc3003","100","18","36","None","Level","20","42","Docked","Level","3"
"5","40","blue","frc4458","frc7030","frc340","103","10","28","None","Level","33","55","Park","Level","3"
"6","46","red","frc4458","frc1860","frc144","90","10","13","None","Level","42","62","None","Level","2"
"7","55","red","frc4458","frc7504","frc9099","70","10","25","Docked","Level","20","40","Docked","Level","1"
"8","61","red","frc5016","frc2601","frc4458","99","15","33","None","Level","31","51","None","Level","1"
"9","67","blue","frc2791","frc229","frc4458","98","9","18","None","NotLevel","49","55","Docked","NotLevel","3"
"10","78","red","frc7522","frc810","frc4458","98","18","36","None","Level","37","47","Docked","Level","2"
