"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc5667","frc8140","frc2228","55","12","27","None","Level","8","28","Docked","Level","1"
"2","12","blue","frc7885","frc7460","frc5667","84","9","15","None","Level","34","54","None","Level","0"
"3","25","red","frc8145","frc291","frc5667","40","10","13","None","Level","22","22","Park","NotLevel","0"
"4","30","blue","frc3201","frc5667","frc4269","79","6","21","None","Level","26","48","Docked","Level","1"
"5","36","red","frc5667","frc695","frc451","125","15","33","None","Level","50","72","Docked","Level","4"
"6","45","red","frc6964","frc5667","frc4028","137","22","40","None","Level","45","67","Park","Level","4"
"7","61","blue","frc2603","frc5667","frc8243","109","13","28","None","Level","39","61","Park","Level","3"
"8","68","red","frc3324","frc8037","frc5667","92","3","21","None","Level","41","51","Docked","NotLevel","1"
"9","73","blue","frc5667","frc8718","frc4145","63","6","9","None","Level","32","44","None","NotLevel","0"
"10","79","blue","frc1126","frc5667","frc48","123","14","32","None","Level","44","66","Park","Level","4"
