"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc3324","frc451","frc4467","87","0","3","None","Level","39","59","None","Level","0"
"2","9","blue","frc9097","frc144","frc451","50","4","15","None","NotLevel","16","20","None","NotLevel","0"
"3","17","red","frc451","frc4085","frc4269","27","4","13","None","NotLevel","8","14","None","NotLevel","0"
"4","31","blue","frc451","frc3193","frc1014","33","3","6","None","Level","11","17","None","NotLevel","0"
"5","39","blue","frc5667","frc451","frc4504","22","3","3","None","Level","10","14","Docked","Level","0"
"6","44","red","frc554","frc4020","frc451","98","10","28","None","Level","40","60","Park","Level","3"
"7","51","blue","frc1787","frc3140","frc451","97","12","30","None","Level","35","57","None","Level","3"
"8","67","red","frc451","frc3201","frc7515","71","0","14","None","NotLevel","30","52","None","Level","1"
"9","73","blue","frc6936","frc451","frc6964","69","10","28","None","Level","18","26","None","NotLevel","0"
"10","81","red","frc451","frc1038","frc5413","77","3","15","None","Level","32","52","None","Level","3"
