"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc5550","frc4005","frc2341","57","6","9","None","Level","16","38","None","Level","2"
"2","10","red","frc6809","frc5550","frc2986","16","6","9","None","Level","2","2","Docked","NotLevel","0"
"3","13","blue","frc8711","frc5550","frc2773","38","0","3","None","Level","10","30","Docked","Level","0"
"4","21","red","frc4293","frc5550","frc2945","44","3","6","None","Level","16","38","Park","Level","0"
"5","24","blue","frc1410","frc4523","frc5550","63","6","21","None","Level","27","37","None","NotLevel","2"
"6","33","red","frc5550","frc2395","frc3247","57","9","15","None","NotLevel","24","32","None","NotLevel","0"
"7","36","blue","frc4603","frc3931","frc5550","58","6","18","None","Level","18","30","Park","NotLevel","0"
"8","44","red","frc1619","frc5550","frc3465","93","9","24","None","Level","34","54","Docked","Level","1"
"9","47","blue","frc5550","frc3160","frc1209","63","6","9","None","Level","27","49","None","Level","2"
"10","53","red","frc5578","frc2333","frc5550","33","9","24","Docked","Level","3","9","Docked","Level","0"
"11","58","red","frc1561","frc9007","frc5550","92","9","27","None","Level","25","55","Docked","Level","1"
