"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc3179","frc6832","frc7483","93","12","18","None","Level","35","65","Docked","Level","1"
"2","12","red","frc5006","frc7483","frc2357","96","16","22","None","Level","29","59","Docked","Level","3"
"3","22","red","frc6809","frc3931","frc7483","87","9","27","None","Level","20","40","None","Level","1"
"4","28","red","frc4005","frc7483","frc9244","103","12","27","None","Level","22","44","Docked","Level","3"
"5","36","blue","frc2359","frc2373","frc7483","103","18","32","None","NotLevel","34","56","Docked","Level","1"
"6","43","red","frc8086","frc6026","frc7483","104","10","28","None","Level","32","54","Docked","Level","3"
"7","48","blue","frc7744","frc7483","frc3507","41","10","13","None","Level","15","23","Docked","NotLevel","0"
"8","60","blue","frc7483","frc3465","frc2333","89","16","37","None","Level","30","42","Docked","Level","0"
"9","70","red","frc7483","frc1209","frc6424","142","18","36","None","Level","44","74","Docked","Level","2"
"10","75","blue","frc7483","frc1986","frc31","123","18","36","None","Level","40","62","None","Level","3"
