"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc4920","frc8731","frc7200","63","6","17","None","NotLevel","21","41","Docked","Level","3"
"2","8","blue","frc8731","frc9098","frc1285","72","4","10","None","NotLevel","27","57","Docked","Level","3"
"3","12","blue","frc8731","frc4903","frc9098","45","4","7","None","Level","11","33","Docked","Level","0"
"4","19","red","frc4976","frc8731","frc4039","111","15","30","None","Level","44","66","Docked","Level","3"
"5","23","blue","frc7757","frc8731","frc5672","52","0","3","None","Level","14","44","Park","Level","1"
"6","28","blue","frc7690","frc865","frc8731","39","6","9","None","Level","6","20","Docked","NotLevel","0"
"7","31","red","frc8731","frc7659","frc4069","57","3","18","None","Level","14","34","Park","Level","1"
"8","34","red","frc8731","frc1114","frc2935","44","4","7","None","Level","22","32","None","NotLevel","0"
"9","40","blue","frc6859","frc8731","frc3161","37","6","9","None","NotLevel","11","23","Docked","Level","0"
"10","44","red","frc5885","frc1325","frc8731","94","9","24","None","Level","33","55","Docked","Level","3"
"11","49","blue","frc3739","frc6864","frc8731","41","3","9","None","Level","19","27","Docked","NotLevel","0"
"12","52","red","frc3543","frc1360","frc8731","54","3","9","None","Level","10","30","Docked","Level","0"
