"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc1241","frc3683","frc4476","180","20","41","None","Level","72","94","Docked","Level","4"
"2","9","red","frc3683","frc1374","frc4152","120","20","38","None","Level","42","52","Docked","NotLevel","3"
"3","17","blue","frc7558","frc3683","frc771","126","14","32","Docked","Level","52","64","Park","NotLevel","3"
"4","22","red","frc9098","frc3683","frc3161","179","20","38","None","Level","74","96","Docked","Level","4"
"5","28","blue","frc5409","frc3683","frc5834","149","21","42","None","Level","55","77","Park","Level","4"
"6","40","blue","frc2200","frc4308","frc3683","164","24","42","Docked","Level","60","82","Docked","Level","4"
"7","46","blue","frc3683","frc6140","frc2852","182","20","38","Docked","Level","57","79","Docked","Level","4"
"8","51","red","frc4951","frc6978","frc3683","108","20","38","None","Level","28","50","Docked","Level","3"
"9","60","blue","frc8884","frc2056","frc3683","172","24","42","None","Level","68","90","Docked","Level","4"
"10","64","blue","frc3683","frc5719","frc5032","85","7","7","None","Level","41","63","Docked","Level","0"
"11","73","red","frc3683","frc781","frc8081","158","23","41","None","Level","60","82","Park","Level","4"
"12","80","red","frc7022","frc8349","frc3683","74","16","22","None","Level","12","42","Docked","Level","1"
