"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc7509","frc1241","frc4992","108","21","36","Docked","Level","37","57","Docked","Level","3"
"2","12","red","frc4992","frc6854","frc7722","49","12","15","None","Level","9","29","Docked","Level","0"
"3","17","blue","frc1334","frc4992","frc6865","68","3","18","Docked","Level","13","35","Docked","Level","1"
"4","22","red","frc4992","frc1360","frc1374","85","13","19","None","Level","21","51","Docked","Level","3"
"5","30","blue","frc4343","frc6975","frc4992","86","6","24","Docked","Level","25","47","Docked","Level","1"
"6","34","red","frc2386","frc9262","frc4992","61","6","21","Docked","Level","13","25","Docked","Level","0"
"7","40","blue","frc6140","frc4992","frc7058","94","13","28","Docked","Level","29","51","Docked","Level","3"
"8","46","red","frc2609","frc4992","frc6135","81","9","30","None","Level","19","41","Park","Level","1"
"9","51","blue","frc4992","frc6378","frc9062","62","6","24","Docked","Level","22","28","Docked","Level","0"
"10","59","blue","frc4992","frc2056","frc6978","165","20","38","None","Level","65","87","Docked","Level","4"
"11","66","blue","frc7022","frc4992","frc1325","145","19","37","Docked","Level","48","68","Docked","Level","4"
"12","70","red","frc8764","frc2200","frc4992","87","17","35","Docked","Level","29","37","Docked","NotLevel","0"
