"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc9263","frc8789","frc5460","61","3","17","Docked","NotLevel","17","39","Docked","Level","1"
"2","10","blue","frc6725","frc5460","frc7480","73","6","21","None","Level","20","42","Docked","Level","1"
"3","16","blue","frc5460","frc1325","frc7902","87","18","24","None","Level","36","48","Docked","NotLevel","0"
"4","21","red","frc6070","frc4907","frc5460","124","12","30","None","Level","39","69","Park","Level","4"
"5","25","red","frc5460","frc5024","frc781","127","19","40","None","Level","35","57","None","Level","1"
"6","30","red","frc216","frc6162","frc5460","84","10","24","Docked","NotLevel","34","40","Park","NotLevel","0"
"7","34","red","frc288","frc5460","frc1285","97","15","24","None","NotLevel","38","58","Park","Level","2"
"8","42","red","frc244","frc5460","frc3739","132","16","34","None","Level","51","73","Docked","Level","4"
"9","49","red","frc5460","frc4039","frc3756","124","12","30","None","Level","52","64","Docked","NotLevel","3"
"10","54","blue","frc8884","frc5460","frc7475","101","10","27","Docked","NotLevel","32","54","Docked","Level","3"
"11","57","blue","frc9113","frc4917","frc5460","100","9","26","None","NotLevel","37","59","Docked","Level","1"
"12","64","blue","frc5460","frc4617","frc4992","99","19","30","Docked","NotLevel","22","44","Park","Level","3"
