"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc2200","frc188","frc6141","87","8","26","Docked","Level","24","46","Docked","Level","3"
"2","6","blue","frc2056","frc4476","frc2200","159","24","42","None","Level","55","77","Docked","Level","4"
"3","13","blue","frc2200","frc5409","frc6975","93","10","28","None","Level","33","55","Docked","Level","3"
"4","19","red","frc771","frc6514","frc2200","85","11","22","Docked","NotLevel","26","48","Docked","Level","3"
"5","27","blue","frc2200","frc7480","frc8850","90","14","20","None","NotLevel","28","50","Docked","Level","2"
"6","30","red","frc2200","frc4951","frc2702","61","4","22","None","Level","12","34","None","Level","1"
"7","40","red","frc2386","frc2200","frc7558","93","17","35","None","Level","26","48","Docked","Level","3"
"8","45","blue","frc6378","frc2200","frc5834","124","7","22","Docked","Level","38","58","Docked","Level","3"
"9","49","red","frc7902","frc2200","frc8349","50","4","10","None","Level","21","35","Docked","NotLevel","2"
"10","55","blue","frc610","frc7476","frc2200","92","10","28","None","Level","39","49","Docked","Level","2"
"11","60","blue","frc1305","frc6140","frc2200","119","10","27","None","NotLevel","45","67","Docked","Level","4"
"12","63","red","frc5036","frc2200","frc5719","82","14","28","Docked","NotLevel","30","44","Docked","NotLevel","0"
