"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc5870","frc6864","frc771","18","3","6","None","NotLevel","4","12","Docked","NotLevel","0"
"2","6","red","frc6859","frc5870","frc610","87","9","27","None","Level","28","50","Park","Level","3"
"3","12","red","frc1374","frc3543","frc5870","44","10","13","None","NotLevel","17","21","Docked","Level","0"
"4","18","red","frc5870","frc1246","frc3560","42","4","16","Docked","Level","9","21","Docked","Level","0"
"5","22","blue","frc7476","frc5672","frc5870","74","13","28","Docked","Level","16","36","None","Level","1"
"6","26","blue","frc5870","frc6865","frc1334","61","7","25","Docked","Level","13","21","Docked","NotLevel","0"
"7","29","red","frc4152","frc5870","frc7757","100","13","31","Docked","Level","29","59","Docked","Level","3"
"8","34","red","frc1305","frc5870","frc8731","50","14","29","Docked","Level","14","16","Docked","NotLevel","2"
"9","42","blue","frc5870","frc6514","frc2013","106","13","28","None","Level","31","53","Docked","Level","4"
"10","47","red","frc9127","frc5870","frc865","58","10","13","None","Level","18","40","Park","Level","2"
"11","50","red","frc6110","frc4069","frc5870","84","16","31","None","Level","23","43","Docked","Level","1"
"12","53","blue","frc8729","frc2706","frc5870","102","10","25","None","Level","30","52","Docked","Level","3"
