"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc8850","frc7136","frc1310","40","7","22","None","Level","16","18","Park","NotLevel","0"
"2","9","blue","frc8349","frc8850","frc7690","106","3","21","None","Level","24","46","Park","Level","3"
"3","12","blue","frc7712","frc6977","frc8850","49","12","12","None","NotLevel","21","27","Park","NotLevel","0"
"4","16","red","frc5036","frc2198","frc8850","36","0","3","None","Level","17","23","Docked","NotLevel","0"
"5","21","blue","frc4308","frc8850","frc7558","87","13","28","None","Level","29","49","Park","Level","3"
"6","25","blue","frc6978","frc8850","frc8349","77","4","25","None","Level","20","42","None","Level","3"
"7","30","red","frc5031","frc8850","frc6397","49","6","15","None","Level","12","24","Park","NotLevel","1"
"8","36","red","frc8850","frc5719","frc5596","49","4","7","None","NotLevel","22","32","Park","NotLevel","0"
"9","42","red","frc4476","frc5032","frc8850","76","9","27","None","Level","35","39","Park","NotLevel","2"
"10","45","red","frc8850","frc2852","frc8729","57","12","18","None","Level","9","29","Park","Level","2"
"11","48","red","frc8850","frc7603","frc8574","31","9","23","None","NotLevel","8","8","Park","Level","0"
"12","53","blue","frc4343","frc6866","frc8850","57","6","9","None","Level","16","38","Docked","Level","0"
