"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc6875","frc7722","frc8089","53","7","22","Docked","Level","4","26","Park","Level","3"
"2","9","red","frc8089","frc8764","frc8765","43","4","10","None","Level","16","28","Docked","NotLevel","0"
"3","15","red","frc9062","frc8089","frc2609","75","7","25","None","Level","18","40","Docked","Level","1"
"4","20","red","frc2702","frc7509","frc8089","74","10","13","None","NotLevel","31","51","Docked","Level","0"
"5","25","red","frc8089","frc3683","frc8081","127","16","34","None","Level","41","63","Docked","Level","4"
"6","29","blue","frc8089","frc7623","frc6992","46","0","18","Docked","Level","6","28","Docked","Level","1"
"7","33","blue","frc9098","frc8089","frc4917","118","9","23","Docked","NotLevel","40","70","Park","Level","4"
"8","37","blue","frc5032","frc8089","frc3161","78","12","18","None","Level","25","55","Park","Level","1"
"9","41","blue","frc5912","frc3756","frc8089","61","13","24","Docked","NotLevel","10","32","Park","Level","1"
"10","46","red","frc7058","frc8089","frc7475","70","10","28","Docked","Level","10","32","Docked","Level","1"
"11","55","blue","frc4940","frc2702","frc8089","73","9","30","None","Level","24","28","Docked","NotLevel","0"
"12","60","red","frc8089","frc4976","frc772","90","10","31","Docked","Level","27","49","Docked","Level","1"
