"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc4940","frc2634","frc2852","111","6","21","Docked","Level","40","70","Docked","Level","3"
"2","10","red","frc4903","frc5408","frc4940","96","15","30","Docked","Level","32","46","Park","Level","3"
"3","13","blue","frc4678","frc4940","frc8574","108","21","24","None","NotLevel","38","42","Docked","NotLevel","2"
"4","17","red","frc4940","frc4617","frc4308","76","3","21","None","Level","15","45","None","Level","1"
"5","20","red","frc4951","frc2198","frc4940","33","0","3","None","Level","12","20","Docked","NotLevel","0"
"6","24","red","frc5885","frc4940","frc4688","81","15","27","Docked","Level","19","39","Docked","Level","1"
"7","32","blue","frc4940","frc772","frc4920","81","18","33","Docked","Level","23","33","Docked","Level","2"
"8","36","red","frc4940","frc6110","frc8789","79","12","30","Docked","Level","22","44","None","Level","1"
"9","39","blue","frc3560","frc4940","frc2852","66","9","21","Docked","Level","18","40","Docked","Level","1"
"10","43","blue","frc7136","frc4940","frc4907","121","15","33","Docked","Level","43","63","Park","Level","4"
"11","47","blue","frc6070","frc6725","frc4940","38","6","21","Docked","Level","5","17","Docked","Level","0"
"12","53","blue","frc5912","frc8081","frc4940","89","12","30","None","Level","29","49","None","Level","1"
